Model,MAE,RMSE
Baseline,0.3581535870883478,0.562038420463182
XGBoost,0.017137649527447278,0.029319586243191146
SARIMA,1.2415152496544428,1.399398738993546
LSTM,0.31293022632598877,0.454368070106185
Transformer,0.5114831328392029,0.657463699796471
